ISO3,Pop,COUNTRY,bovinepppd,shoatpppd,pigpppd,poultrypppd,birdpppd,horsepppd,assespppd,mulespppd,camelpppd,rabbitpppd,rodentspppd,camelidspppd,gamepppd,driednespppd,nespppd,snailpppd,gamepcpa,allmeatpppd,allmeatpcpa,percent_game_pppd,percent_game_pcpa
URY,3473730,Uruguay,8.1743,2.4109,4.5384,7.4237,NA,0.25932,NA,NA,NA,0.046032000000000003,NA,NA,0.10034,0,1.5184e-4,NA,127309.37341004999,22.95314384,29122487.1443208,0.4371514451329296,0.43715144513292953
TUN,11818619,Tunisia,1.4959,2.0362,0,4.4288,NA,0.027249,NA,NA,NA,NA,NA,NA,0.027199,0,0.31415,0.041021,117411.29929061026,8.370519,36133442.829763584,0.324938035502936,0.324938035502936
POL,37846611,Poland,0.6538,0.018213,12.4256,7.0117,NA,0.013007,NA,NA,NA,0.041696,NA,NA,0.062168,0,0.017623,NA,859377.773144682,20.243807,279839753.2433201,0.3070963875520054,0.3070963875520054
FIN,5540720,Finland,5.0878,0.21127,8.4317,5.8802,NA,0.2984,NA,NA,NA,3.058e-4,NA,NA,0.051897,0.30339,0.36191,NA,105026.44891805999,20.6268728,41743592.16271695,0.2515989723851887,0.25159897238518864
ESP,46754778,Spain,3.5058,0.99079,11.7272,8.7315,NA,0.033468,NA,NA,NA,0.74809,NA,NA,0.056351,0.15156,3.0469e-4,NA,962316.3203272393,25.94506369,443068591.87621635,0.21719353119845816,0.21719353119845816
GBR,67886011,United Kingdom,5.0474,1.7047,6.4723,9.9599,NA,0.0082169,NA,NA,NA,7.893e-4,NA,NA,0.047201,1.1085,0.0010472,NA,1170366.047803318,24.350054399999998,603768499.2250967,0.1938435094420159,0.1938435094420159
FRA,65273511,France,6.8205,1.2021,8.1164,7.461,NA,0.16071,NA,NA,NA,0.45183,NA,NA,0.047379,0.24205,1.0144,NA,1129569.8407686022,25.516369,608339578.0477195,0.18568080748479532,0.18568080748479532
CZE,10708981,Czech Republic,1.9614,0.091065,10.9682,7.4643,NA,0.01944,NA,NA,NA,1.9869,NA,NA,0.038646,0.61603,0.00115,NA,151162.1019199215,23.147130999999998,90538968.46700238,0.16695805627055899,0.16695805627055899
ITA,60461826,Italy,5.7927,0.42619,9.7291,5.8641,0.032963,0.40883,NA,NA,NA,2.3162,NA,NA,0.040578,0.040441,0.25558,NA,896111.646025077,24.906682,550031243.6306164,0.16292013524724008,0.16292013524724008
IRL,4937786,Ireland,6.1586,1.0199,7.8667,6.9309,NA,0,NA,NA,NA,0,NA,NA,0.029098,0.16267,0.19029,NA,52479.009339476994,22.358158,40323526.78862817,0.1301448893956291,0.1301448893956291
LTU,2722289,Lithuania,0.98204,0.076495,10.9973,7.5483,NA,0.0080858,NA,NA,NA,0.020753,NA,NA,0.022819,0.33617,0.057343,NA,22689.29811038775,20.0493058,19935346.693655554,0.11381441446217054,0.11381441446217057
SEN,16743927,Senegal,1.5092,1.0188,0.25481,1.4268,NA,0.31871,NA,NA,NA,0,NA,NA,0.0041859,1.5948e-4,0.1784,NA,25599.789571701825,4.71106538,28811553.64115949,0.08885251344145007,0.08885251344145004
SVN,2078938,Slovenia,5.2923,0.33512,8.9773,7.6097,NA,0.11198,NA,NA,NA,0.017316,NA,NA,0.018912,0.022091,0.030361,NA,14360.488760304,22.41508,17020489.868935857,0.08437177114692432,0.08437177114692432
GRC,10423054,Greece,5.0313,4.648,7.7115,4.765,NA,0.14705,NA,NA,NA,0.38248,NA,NA,0.017262,0.4584,0.024526,NA,65716.787413557,23.185518,88267741.71470277,0.07445164692891486,0.07445164692891486
MLT,441543,Malta,4.9721,0.58646,8.0582,8.2304,NA,0.1527,NA,NA,NA,2.5312,NA,NA,0.010012,0.47736,0,NA,1614.671090469,25.018432,4034812.1133903842,0.04001849516388557,0.04001849516388557
CHN,1439323776,China,1.4869,1.1849,8.2429,4.3707,0,0.077977,NA,NA,NA,0.27819,NA,NA,0.0032549,3.9097e-4,0.14389,NA,1711143.2735930015,15.78910287,8300536782.103432,0.02061485080437632,0.02061485080437632
ARE,9890402,United Arab Emirates,1.3883,2.7502,NA,12.7335,NA,0,NA,NA,NA,0,NA,NA,0.0024813,0.0085734,0.011438,NA,8963.620149769651,16.8944927,61030836.733106144,0.01468703466899601,0.01468703466899601
BGR,6948445,Bulgaria,1.1973,0.6921,6.9136,6.8339,NA,0.05754,NA,NA,NA,0.58481,NA,NA,0.0020892,0.016988,0.011494,NA,5302.2214951335,16.3098212,41393013.85622442,0.012809459860908836,0.012809459860908836
KAZ,18776707,Kazakhstan,5.9541,3.3767,4.1152,5.1917,NA,2.8861,NA,NA,NA,0.17406,NA,NA,0.001514,0.0059625,0.0068222,NA,10383.303038869499,21.7121587,148906158.13086316,0.006973051463556223,0.006973051463556225
RUS,145934462,Russian Federation,4.3694,0.50268,5.5775,7.4675,0.16446,0.30031,NA,NA,NA,0.060838,NA,NA,1.27e-5,0,1.1769,NA,676.94254051785,19.6196007,1045774987.5436053,6.473118487064826e-5,6.473118487064826e-5
BGD,164689383,Bangladesh,0.34977,0.48447,0,0.44611,NA,0,NA,NA,NA,NA,NA,NA,0,5.32e-5,0.053797,NA,0,1.3342002,80255873.97574808,0,0
IDN,273523615,Indonesia,0.66187,0.1712,0.7178,2.2467,NA,0,NA,NA,NA,0,NA,NA,0,0.0021553,0.0087634,NA,0,3.8084887000000003,380485160.7716151,0,0
NPL,29136808,Nepal,2.4514,0.83642,0.15188,0.45284,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,NA,0,3.89254,41425263.62114988,0,0
YEM,29825964,Yemen,1.2968,1.3478,0.002425,3.2133,NA,NA,NA,NA,NA,0.013035,NA,NA,0,0,0,NA,0,5.87336,63983992.38642936,0,0
HTI,11402528,Haiti,1.4529,0.26241,1.5026,2.3807,NA,0.26762,NA,NA,NA,NA,NA,NA,0,NA,0.20945,NA,0,6.07568,25303830.15927936,0,0
