country,ISO3,Region,Product,PerPersonPerDay_g,Proportion,game_protein_kg_extra,kg_extra,Pasture_m2_kg_protein,sd_Pasture_m2_kg_protein,Crop_m2_kg_protein,sd_Crop_m2_kg_protein,extra_pasture_km,extra_pasture_km_sd,extra_crop_km,extra_crop_km_sd,extra_total_km
Sierra Leone,SLE,Western Africa,Pig Meat,0.19,0.0778688524590164,396760,30895.245901639344,0,0,100.852272727273,40.2166981799849,0,0,3.115855765648295,1.2425047796226452,3.115855765648295
Sierra Leone,SLE,Western Africa,Poultry Meat,1.27,0.5204918032786885,396760,206510.32786885244,0,0,59.8095238095238,20.40873170117705,0,0,12.351284371584697,4.214613874997515,12.351284371584697
Suriname,SUR,South America,Lamb & Mutton,0.036901,0.002098913480523663,16250000,34107.34405850952,694.447368421052,705.080351897271,63.3333333333333,49.1667231638093,23.685755325263344,24.04841815105519,2.1601317903722688,1.6769463431775338,25.845887115635612
Slovakia,SVK,Eastern Europe,Bovine Meat (beef herd),1.3424478785210014,0.07924549682279639,88140,6984.698089961274,616.6711229946525,368.774746960966,111.46954022988484,89.42543572797405,4.3072616149150225,2.5757802707242115,0.778581084732538,0.624609670123135,5.085842699647561
Slovakia,SVK,Eastern Europe,Lamb & Mutton,0.052122421020964906,0.0030768175178346128,88140,271.19069602194276,694.447368421052,705.080351897271,63.3333333333333,49.1667231638093,0.1883276651927116,0.19121123138241725,0.017175410748056365,0.01333355787591162,0.20550307594076797
Slovakia,SVK,Eastern Europe,Pig Meat,9.706818542794169,0.5729992726718905,88140,50504.155893300434,0,0,100.852272727273,40.2166981799849,0,0,5.093458904011848,2.0311103943957693,5.093458904011848
Slovenia,SVN,Southern Europe,Bovine Meat (beef herd),5.416966577942541,0.24187024217457834,8320,2012.3604148924917,616.6711229946525,368.774746960966,111.46954022988484,89.42543572797405,1.2409645569217378,0.7421077027962433,0.22431689022488635,0.17995620694348768,1.465281447146624
Slovenia,SVN,Southern Europe,Lamb & Mutton,0.33590669610014734,0.014998400445118439,8320,124.78669170338542,694.447368421052,705.080351897271,63.3333333333333,49.1667231638093,0.08665778966738513,0.08798464449831926,0.007903157141214406,0.00613535272550797,0.09456094680859954
Slovenia,SVN,Southern Europe,Poultry Meat,7.6275638138973845,0.34057450425882607,8320,2833.579875433433,0,0,59.8095238095238,20.40873170117705,0,0,0.16947506302592338,0.05782977143157562,0.16947506302592338
Chad,TCD,Middle Africa,Bovine Meat (beef herd),3.35,0.6836734693877551,585000,399948.97959183675,616.6711229946525,368.774746960966,111.46954022988484,89.42543572797405,246.6369863854633,147.49108374627616,44.58212887051364,35.7656117689586,291.21911525597693
Chad,TCD,Middle Africa,Lamb & Mutton,1.38,0.2816326530612244,585000,164755.1020408163,694.447368421052,705.080351897271,63.3333333333333,49.1667231638093,114.41374704618677,116.16558532380957,10.43448979591836,8.100468491865968,124.84823684210514
Chad,TCD,Middle Africa,Pig Meat,0.02,0.004081632653061224,585000,2387.755102040816,0,0,100.852272727273,40.2166981799849,0,0,0.24081052875695794,0.09602762626649455,0.24081052875695794
Chad,TCD,Middle Africa,Poultry Meat,0.15,0.03061224489795918,585000,17908.16326530612,0,0,59.8095238095238,20.40873170117705,0,0,1.0710787172011658,0.3654828993425074,1.0710787172011658
Togo,TGO,Western Africa,Bovine Meat (beef herd),0.62,0.16062176165803108,733980,117893.16062176165,616.6711229946525,368.774746960966,111.46954022988484,89.42543572797405,72.7013077540107,43.47602047671867,13.141496410755735,10.542647257949067,85.84280416476643
Togo,TGO,Western Africa,Lamb & Mutton,0.64,0.16580310880829013,733980,121696.16580310879,694.447368421052,705.080351897271,63.3333333333333,49.1667231638093,84.51158208890092,85.80557540900459,7.707423834196886,5.983401694138486,92.21900592309781
Togo,TGO,Western Africa,Pig Meat,0.5,0.12953367875647667,733980,95075.12953367874,0,0,100.852272727273,40.2166981799849,0,0,9.588542893311377,3.823607788878927,9.588542893311377
Togo,TGO,Western Africa,Poultry Meat,2.1,0.544041450777202,733980,399315.5440414507,0,0,59.8095238095238,20.40873170117705,0,0,23.8828725388601,8.149523802451515,23.8828725388601
Tunisia,TUN,Northern Africa,Bovine Meat (beef herd),1.5908716167763022,0.19067608778954925,62400.00000000001,11898.187878067874,616.6711229946525,368.774746960966,111.46954022988484,89.42543572797405,7.337268880369477,4.387751224028514,1.326285532337015,1.0640006353695186,8.663554412706493
Tunisia,TUN,Northern Africa,Lamb & Mutton,2.1267340135993957,0.25490260634847944,62400.00000000001,15905.922636145118,694.447368421052,705.080351897271,63.3333333333333,49.1667231638093,11.045826116979821,11.214953529543969,1.0073751002891902,0.7820420949163149,12.053201217269011
Tunisia,TUN,Northern Africa,Pig Meat,0,0,62400.00000000001,0,0,0,100.852272727273,40.2166981799849,0,0,0,0,0
Tunisia,TUN,Northern Africa,Poultry Meat,4.625714369624302,0.5544213058619712,62400.00000000001,34595.88948578701,0,0,59.8095238095238,20.40873170117705,0,0,2.0691636759118324,0.7060582264789992,2.0691636759118324
Tanzania,TZA,Eastern Africa,Bovine Meat (beef herd),1.6207565353195326,0.5683655326476148,2730000,1551637.9041279885,616.6711229946525,368.774746960966,111.46954022988484,89.42543572797405,956.8502888196756,572.2048754698426,172.960363776409,138.75589566868578,1129.8106525960845
Tanzania,TZA,Eastern Africa,Lamb & Mutton,0.43309510724759864,0.1518774263460412,2730000,414625.3739246925,694.447368421052,705.080351897271,63.3333333333333,49.1667231638093,287.9354998025974,292.34420455235977,26.25960701523051,20.38577097644627,314.19510681782793
Tanzania,TZA,Eastern Africa,Pig Meat,0.09958347367626276,0.03492184842416825,2730000,95336.64619797931,0,0,100.852272727273,40.2166981799849,0,0,9.614917443262145,3.834125125636139,9.614917443262145
Tanzania,TZA,Eastern Africa,Poultry Meat,0.6981743537566062,0.24483519258217576,2730000,668400.0757493398,0,0,59.8095238095238,20.40873170117705,0,0,39.976690244817654,13.641197815014692,39.976690244817654
Uruguay,URY,South America,Lamb & Mutton,2.410916018755985,0.10549760264147898,24440,2578.361408557746,694.447368421052,705.080351897271,63.3333333333333,49.1667231638093,1.7905362950113237,1.817951969264239,0.1632962225419905,0.12676958159080812,1.953832517553314
United States,USA,Northern America,Lamb & Mutton,0.1457,0.004341021146716935,33027930,143374.94256228665,694.447368421052,705.080351897271,63.3333333333333,49.1667231638093,99.56635155989945,101.0908549550681,9.080413028944816,7.049276109587007,108.64676458884426
Venezuela,VEN,South America,Lamb & Mutton,0.1312279801564822,0.00469804665819204,16250000,76343.25819562066,694.447368421052,705.080351897271,63.3333333333333,49.1667231638093,53.01637475063768,53.82813135355243,4.835073019055973,3.7535478411272964,57.85144776969365
South Africa,ZAF,Southern Africa,Bovine Meat (beef herd),4.549298,0.24141893880481205,5930470,1431727.7740137738,616.6711229946525,368.774746960966,111.46954022988484,89.42543572797405,882.905174223708,527.9850475789166,159.59403670367183,128.03288003502408,1042.4992109273796
South Africa,ZAF,Southern Africa,Lamb & Mutton,1.1856,0.06291658489880969,5930470,373124.9192448439,694.447368421052,705.080351897271,63.3333333333333,49.1667231638093,259.1156182618994,263.08304936279535,23.631244885506767,18.34532961002994,282.74686314740615
South Africa,ZAF,Southern Africa,Pig Meat,1.315,0.06978349286600434,5930470,413848.91093705274,0,0,100.852272727273,40.2166981799849,0,0,41.73760323370856,16.643636743270903,41.73760323370856
South Africa,ZAF,Southern Africa,Poultry Meat,11.7941,0.625880983430374,5930470,3711768.3958043302,0,0,59.8095238095238,20.40873170117705,0,0,221.99910024429707,75.75248532687893,221.99910024429707
Zambia,ZMB,Eastern Africa,Bovine Meat (beef herd),1.99,0.5115681233933161,4940000,2527146.529562982,616.6711229946525,368.774746960966,111.46954022988484,89.42543572797405,1558.4182883576427,931.947821972872,281.6998617439347,225.9911795546071,1840.1181501015774
Zambia,ZMB,Eastern Africa,Lamb & Mutton,0.27,0.06940874035989718,4940000,342879.1773778921,694.447368421052,705.080351897271,63.3333333333333,49.1667231638093,238.11154241645227,241.75737104385095,21.715681233933154,16.858245592773486,259.8272236503854
Zambia,ZMB,Eastern Africa,Pig Meat,0.54,0.13881748071979436,4940000,685758.3547557842,0,0,100.852272727273,40.2166981799849,0,0,69.16028861883638,27.578936777616384,69.16028861883638
Zambia,ZMB,Eastern Africa,Poultry Meat,1.09,0.2802056555269923,4940000,1384215.9383033419,0,0,59.8095238095238,20.40873170117705,0,0,82.78929611947605,28.25009170132595,82.78929611947605
Zimbabwe,ZWE,Eastern Africa,Bovine Meat (beef herd),2.1988035040409737,0.38856885273249353,4550000,1767988.2799328456,616.6711229946525,368.774746960966,111.46954022988484,89.42543572797405,1090.267318027572,651.9894305621888,197.07684069593924,158.10312229494608,1287.3441587235113
Zimbabwe,ZWE,Eastern Africa,Lamb & Mutton,0.3564883616645193,0.06299802299291189,4550000,286641.00461774913,694.447368421052,705.080351897271,63.3333333333333,49.1667231638093,199.0570913383625,202.10494040406985,18.153930292457435,14.093198921437056,217.21102163081994
Zimbabwe,ZWE,Eastern Africa,Pig Meat,0.8264970467347438,0.14605716638449062,4550000,664560.1070494324,0,0,100.852272727273,40.2166981799849,0,0,67.0223971598151,26.72641324766548,67.0223971598151
Zimbabwe,ZWE,Eastern Africa,Poultry Meat,2.276934087559763,0.402375957890104,4550000,1830810.6083999733,0,0,59.8095238095238,20.40873170117705,0,0,109.49991067382696,37.364522502503775,109.49991067382696
Albania,ALB,Southern Europe,Pig Meat,2.3353,0.18125160078545208,260,47.12541620421754,0,0,96.5625,40.2166981799849,0,0,0.004550548002219756,0.0018952286400911865,0.004550548002219756
Argentina,ARG,South America,Bovine Meat (beef herd),17.333014469480325,0.541546904890161,6500000,3520054.8817860465,1146.125,894.873274961735,139.172413793103,330.215359269579,4034.4229013870327,3150.0030401089225,489.89453458236,1162.3761874376146,4524.317435969393
Argentina,ARG,South America,Pig Meat,3.1238765141178773,0.09760135263594012,6500000,634408.7921336108,0,0,58.125,35.7235479061081,0,0,36.87501104276613,22.663332877841224,36.87501104276613
Argentina,ARG,South America,Poultry Meat,11.037083078595252,0.3448389309749438,6500000,2241453.0513371346,0,0,41.9047619047619,17.7081402550499,0,0,93.92755643698467,39.691965008187545,93.92755643698467
Austria,AUT,Western Europe,Bovine Meat (beef herd),4.709177575164066,0.16944183108626637,937950,158927.96546736354,260.55,56.5226782618688,64.25,14.686177975546,41.40868140252157,8.983034258925185,10.211121781278107,2.3340443861451297,51.61980318379968
Austria,AUT,Western Europe,Lamb & Mutton,0.4128870723209475,0.014856169776836594,937950,13934.344442183883,770.833333333333,876.095980282222,63.3333333333333,49.1667231638093,10.741057174183405,12.20782315366522,0.8825084813383122,0.6851060556580197,11.623565655521718
Austria,AUT,Western Europe,Pig Meat,16.447635682583986,0.5918055674508618,937950,555084.0319905358,85.0378787878788,338.579542971511,76.8990384615385,28.7855653763907,47.20316862949822,187.9400978621392,42.68542832542608,15.978407692254114,89.8885969549243
Austria,AUT,Western Europe,Poultry Meat,6.222595969931,0.22389643168603524,937950,210003.65809991676,0,0,57.7142857142857,23.1093231473042,0,0,12.120211124623765,4.853042397146964,12.120211124623765
Belgium,BEL,Western Europe,Bovine Meat (beef herd),4.741659845441011,0.22159804652968457,238680,52891.02174570511,260.55,56.5226782618688,64.25,14.686177975546,13.780755715843467,2.989542205073996,3.3982481471615538,0.776766958665899,17.17900386300502
Belgium,BEL,Western Europe,Lamb & Mutton,0.5490783849646381,0.02566078155454891,238680,6124.715341439734,770.833333333333,876.095980282222,63.3333333333333,49.1667231638093,4.721134742359793,5.365838491008208,0.387898638291183,0.3011321836497032,5.109033380650977
Belgium,BEL,Western Europe,Pig Meat,8.6143783357176,0.40258674672710737,238680,96089.40470882598,85.0378787878788,338.579542971511,76.8990384615385,28.7855653763907,8.171239150428574,32.53390673071886,7.389182828450347,2.7659878412243746,15.56042197887892
Belgium,BEL,Western Europe,Poultry Meat,7.492454033876752,0.3501544251886591,238680,83574.85820402915,0,0,57.7142857142857,23.1093231473042,0,0,4.823463244918252,1.9313584052270372,4.823463244918252
Bulgaria,BGR,Eastern Europe,Poultry Meat,6.845856517640555,0.4197920665878342,2860.0000000000005,1200.605310441206,0,NA,70.8571428571428,NA,0,NA,0.08507146199697682,NA,0.08507146199697682
Bahamas,BHS,Caribbean,Pig Meat,5.4465,0.19079456926457652,2080,396.8527040703192,0,NA,163.75,NA,0,NA,0.06498463029151477,NA,0.06498463029151477
