ISO3,COUNTRY,Population (2020),Days in year,Game_median_g_capita_day,Game_low95_g_capita_day,Game_high95_g_capita_day,Game_median_kg_country_year,AllMeat_median_kg_country_year,Perc_game,BovineMeat_median_g_capita_day,MuttonGoatMeat_median_g_capita_day,PigMeat_median_g_capita_day,PoultryMeat_median_g_capita_day,BirdMeatNES_median_g_capita_day,HorseMeat_median_g_capita_day,RabbitMeat_median_g_capita_day,RodentMeat_median_g_capita_day,CamelidMeat_median_g_capita_day,MeatDriedNES_median_g_capita_day,MeatNES_median_g_capita_day,SnailNotSeaMeat_median_g_capita_day
LUX,Luxembourg,625978,365.15,0.23853,0.21558,0.2499,54522.20148,18554790.44,0.29384434,8.0016,0.71031,10.3159,7.8102,0,0.061328,0.32363,0,0,0.066209,0.050382,0
LVA,Latvia,1886198,365.15,,,,,37105865.25,0,1.2995,0.13113,10.2844,6.724,0,0,0,0,0,0,0,0
MAR,Morocco,36910560,365.15,0.89328,0.80733,0.93586,12039530.46,443895552.3,2.712243994,1.765,1.8978,0.007275,6.5268,0,0.032903,0,0,0,0.000050745,0,0.20638
MDA,Moldova,4033963,365.15,,,,,44573689.47,0,0.50851,0.058282,4.719,5.0527,0,0.012075,0.097677,0,0,0,0,0
MDG,Madagascar,27691018,365.15,0.27661,0.27661,0.27661,2796907.5,140300416.2,1.993513331,2.1895,0.20944,0.77906,1.1387,0,0.0001703,0.019654,0,0,0,0,0
MDV,Maldives,540544,365.15,,,,0,,,1.808,0.29869,0.3201,4.1766,0,0,0.0016546,0,0,0.1029,1.3647,0
MEX,Mexico,128932753,365.15,,,,0,,,5.0332,0.38131,4.6913,9.2413,0,0.34036,0.01957,0,0,0.02497,0.00067567,0
MKD,North Macedonia,2083374,365.15,,,,,,,2.1551,0.57189,2.1534,5.4826,0,0,0,0,0,0,0,0
MLI,Mali,20250833,365.15,1.3692,1.3692,1.3692,10124674.91,193589896.6,5.229960391,2.9698,3.0812,0.055647,0.9964,0,0.10162,0,0,0,0.000073733,0,0
MLT,Malta,441543,365.15,0.010012,0.0090488,0.010489,1614.229018,11857458.52,0.013613617,4.9721,0.58646,8.0582,8.2304,0,0.1527,2.5312,0,0,0.47736,0,0
MMR,Myanmar,54409800,365.15,,,,,,,,,,,,,,,,,,
MNE,Montenegro,628066,365.15,,,,0,,,2.6448,0.61924,12.656,4.4449,0,0,0,0,0,0,0,0
MNG,Mongolia,3278290,365.15,,,,0,,,5.7777,18.4955,0.025313,0.68764,0,3.0514,0,0,0,0,0.1756,0
MOZ,Mozambique,31255435,365.15,,,,0,,,0.32299,0.29818,1.315,0.59309,0,0,0,0,0,0,0,0
MRT,Mauritania,4649658,365.15,,,,,41088980.68,0,2.0894,4.3166,0,1.4539,0,0.032047,0,0,0,0.00028707,0.0011677,0
MUS,Mauritius,1271768,365.15,0.4215,0.4215,0.4215,195738.7349,24785391.01,0.789734303,1.715,1.4909,0.96358,12.9091,0,0,0.013417,0,0,0.0025822,0.00087534,0
MWI,Malawi,19129952,365.15,,,,0,,,0.63168,0.66382,0.83764,0.49142,0,0,0,0,0,0,0,0
MYS,Malaysia,32365999,365.15,,,,0,,,1.5793,0.25134,2.0855,12.3133,0,0,0,0,0,0,0,0
NAM,Namibia,2540905,365.15,2.4033,2.4033,2.4033,2229809.284,35134192.31,6.346550573,2.7268,1.8956,1.028,3.3688,1.0079,0.00052843,0.10299,0,0,0,0.00064986,0
NCL,New Caledonia,285498,365.15,,,,0,,,4.3748,0.80137,4.0813,14.13,0,0,0,0,0,0,0,0
NDA,Netherlands Antilles,227049,365.15,,,,,,,,,,,,,,,,,,
NER,Niger,24206644,365.15,1.3872,1.3872,1.3872,12261538.56,155122301.8,7.904433094,2.4781,1.4803,0.026359,0.35247,0,0.029992,0,0,0,0.000064382,0,0
NGA,Nigeria,206139589,365.15,0.82683,0.82683,0.82683,62237041.04,804497897,7.736134708,0.66884,1.001,0.43346,0.62021,0,0,0,0,0,0.000012948,0,0
NIC,Nicaragua,6624554,365.15,,,,0,,,1.638,0.0041001,1.0335,5.8251,0,0.25307,0,0,0,0.0002755,0.000086992,0
NLD,Netherlands,17134872,365.15,0.10687,0.096583,0.11196,668664.0568,439539773.1,0.152128225,4.0304,0.35333,8.2377,4.0053,0,0.000035163,0,0,0,7.2281,0.021966,0
NOR,Norway,5421241,365.15,0.41176,0.37214,0.43138,815106.1584,110854360.3,0.73529463,5.1389,1.8541,5.7036,5.5537,0,0.051088,0.025444,0,0,0.01382,0.20947,0
NPL,Nepal,29136808,365.15,,,,,119242782,0,2.4514,0.83642,0.15188,0.45284,0,0,0,0,0,0,0,0
NZL,New Zealand,4822233,365.15,1.9008,1.7179,1.9914,3347001.593,203059512.2,1.64828604,12.8096,7.4746,4.7093,11.4792,0,0.16251,0,0,0,0,0.24653,0
PAK,Pakistan,220892340,365.15,,,,,,,2.6554,0.99632,0,1.4658,0,0,0,0,0,0.000028413,0.056004,0
PAN,Panama,4314767,365.15,,,,,,,6.5206,0,4.161,9.1912,0,0,0,0,0,1.3654,0.0002747,0
PER,Peru,32971854,365.15,0.19438,0.19438,0.19438,2340271.538,244478982.5,0.957248559,1.3273,0.35671,1.1388,3.6039,0,0,0.056355,0.22596,0,0.0033537,0,0
